小韻號	對應廣韻小韻號	代表字	全部字	反切	韻目
469	497	論	論崘菕	盧昆	䰟
470	498	坤	坤髡𩒱髖	苦昆	䰟
471	499	昏	昏惛婚棔閽𣣏殙	呼昆	䰟
472	501	黁	黁		䰟
473	502	痕	痕拫鞎𢳃	戶恩	痕
474	503	根	根跟	古痕	痕
475	504	恩	恩𤇯	烏痕	痕
476	505	吞	吞	吐根	痕
477	506	垠	垠	五根	痕
478	507	寒	寒韓𦺦翰邯雗豻	胡安	寒
479	522	桓	桓完䴟𩾞丸瓛紈雚雈洹汍絙芄獂梡峘𦎔㿪貆䎠垸寏𦯜𦺊荁𦀸	胡官	寒
480	525	剜	剜眢豌婠	一丸	寒
481	531	鑾	鑾鸞巒欒䜌灓㱍羉𧄶矕	落官	寒
482	523	岏	岏刓黿䯈羱𠒢䬧	五丸	寒
483	529	欑	攢巑穳	在丸	寒
484	533	寛	寛髖	苦官	寒
485	532	歡	歡貛貆𪈩𩿊酄𣎅獾貛	呼丸	寒
486	526	湍	湍貒煓䵎𪏆	他端	寒
487	527	酸	酸狻痠𩆑	素丸	寒
488	524	端	端褍剬𧤗耑竱𥵣鍴𥠄	多官	寒
489	534	鑚	鑽䡽	借官	寒
490	530	官	官莞棺觀貫冠涫悹毌	古丸	寒
491	528	團	團篿剸摶慱漙鄟𩅂𪆃	度官	寒
492	509	單	單襌鄲丹殫簞䐷匰	都寒	寒
493	510	安	安䀂鞌䢿侒	烏寒	寒
494	517	干	干乾竿肝奸鳱玕邗㿻𢧀𨝌	古寒	寒
495	515	壇	壇檀鷤癉撣彈驒聅唌貚	徒干	寒
496	535	盤	盤瘢磐幋磻䰉般蹣搫鞶媻𥈼䈲槃𪒀𪄀蟠	薄官	寒
497	519	看	看靬刊栞臤	苦寒	寒
498	536	瞞	瞞顢謾蹣䊡慲鏝㒼鞔鬗鰻悗䜱䤍芾	武安	寒
499	512	餐	飡	倉干	寒
500	518	蘭	蘭瀾闌讕𨷻籣欄囒躝	落干	寒
501	516	殘	殘䏼戔𥂫𣦼㥇	昨干	寒
502	513	嘽	嘽嘆攤灘嬗譠痑𦧴	他單	寒
503	537	潘	潘㽃番拌㢖	普官	寒
504	511	難	難	乃干	寒
505	514	𦙱	𦙱跚珊姍䈀	蘇干	寒
506	520	頇	頇	許安	寒
507	538	𤳖	𤳖般𠦒	北潘	寒
508	539	刪	刪訕𣧱㹪潸	所姦	刪
509	540	關	關癏𢇅	古還	刪
510	541	彎	彎灣潫	烏關	刪
511	543	還	還環𠟼鬟寰闤糫鍰鐶䭴㡲䍺	胡關	刪
512	544	斑	斑鳻肦螌班䰉𠔯班頒	布還	刪
513	545	蠻	蠻𪈿獌	莫還	刪
514	547	姦	姦菅葌	古顏	刪
515	546	顏	顔	五姦	刪
516	548	攀	攀眅	普班	刪
517	549	奻	奻	女還	刪
518	550	𤸷	𤸷	五還	刪
521	554	山	山疝邖	所閒	山
522	555	鱞	鰥	古頑	山
523	556	閒	閒艱	古閑	山
524	557	閑	閑嫺𤺛𩦃蛝瞯鷳藖憪	胡山	山
525	558	慳	慳𧢞顅掔羥臤𩋆	苦閒	山
526	559	虥	虥鬜潺𨬖孱𡎻䡲	昨閑	山
527	560	羴	羴	許閒	山
528	561	𤡥	𤡥訮虤㗴圁	五閑	山
530	562	黰	黰𦎣殷	烏閑	山
531	563	斒	斒虨	方閑	山
532	564	斕	斕	力閑	山
533	565	嘫	嘫㬮	奴閒	山
534	566	㺗	㺗	充山	山
535	568	窀	穵	除頑	山
537	567	𡣬	𡣬	於鱞	山
538	575	先	先蹮𥑻	蘇前	先
539	576	前	前𦺍𥮒騚	昨先	先
540	577	千	千阡汘仟芊千	倉先	先
541	578	牋	牋𣿕帴韀箈葏𨔥	則前	先
542	579	天	天𦧝吞	他前	先
543	596	祆	祆訮	呵憐	先
544	580	堅	堅鋻𢮂惤开肩鳽𧲨菺𪊑𪚟鵳鰹䋗	古賢	先
545	581	賢	賢弦舷絃蚿胘㢺𠛑礥𧼏蜆𢛆㭹	胡千	先
546	582	煙	煙燕咽橪𥷀	烏前	先
547	583	蓮	蓮憐嗹縺𪍴	路賢	先
548	584	田	田佃畋畇塡闐䟧蟬鈿滇搷磌鷆	徒賢	先
549	585	年	年𨚶	奴賢	先
550	586	顛	顛𩖁瘨𩥄槙滇𧽍𠑘蹎驒厧	都賢	先
551	587	牽	牽縴汧掔雃邢𪊑蛢	苦賢	先
552	588	姸	妍鳽研俓㿼幵	五賢	先
553	589	眠	眠矏𦖑䰓㝰	莫賢	先
554	590	蹁	蹁蠙骿軿駢㼐賆	蒱田	先
555	591	淵	淵㾓弲𪔱剈𨖳𩁵蜎	烏玄	先
556	592	涓	涓蠲𦮻䅌鵑睊	古玄	先
557	593	鋗	鋗駽矎梋㘣	火玄	先
558	594	邊	邊籩甂蝙編猵稹萹𠑟蹁𤄺牑	布玄	先
559	595	玄	玄懸眩䮄玹盷胘	胡涓	先
560	598	仙	仙䉳苮蹮秈鮮㲔硟	相然	仙
561	599	錢	錢	昨仙	仙
562	600	遷	遷櫏	七然	仙
563	601	煎	煎湔	子仙	仙
564	602	然	然燃𤡮㜣肰𥳚䕼	如延	仙
565	603	延	延埏筵𨓴綖蜒䘰鋋𧻃	以然	仙
566	604	𩜾	𩜾旃䄠栴氈鸇	諸延	仙
567	605	甄	甄	居延	仙
568	606	邅	邅驙鱣	張連	仙
569	607	潺	潺虥𨬖孱𡎻䡲	士連	仙
570	608	羶	羶挻煽脠鯅䘰	式連	仙
571	609	脠	脠梴鏈辿	丑連	仙
572	610	鋋	鋋單蟬𡠐儃禪	市連	仙
573	611	纏	纏躔𤁄㙻𨞬𧾍𧓋	直連	仙
574	612	嘕	嘕嫣𦒜仚	許延	仙
575	613	連	連聯漣翴鰱鏈㶌𪚀㦁槤	力延	仙
576	614	篇	篇偏翩媥㾫萹	芳便	仙
577	615	便	便緶箯楄𧍲諞	房連	仙
578	616	綿	綿棉謾矊蝒䫵𢣔𣏜𧉝宀	武連	仙
579	617	全	全泉牷葲𧍭	聚緣	仙
580	618	宣	宣揎愃𩕖	須緣	仙
581	619	鐫	鐫剶	子泉	仙
582	620	翾	翾儇弲𧾎蠉頨𥌭	許緣	仙
583	621	壖	壖袻橍	而緣	仙
584	622	穿	穿川灥	昌緣	仙
585	623	沿	沿鉛櫞捐鳶縁蝝𦿂阭䱲𦛔	与專	仙
586	624	旋	旋檈璿㳬琁㔯鏇䁢𧐗圓	似宣	仙
587	625	娟	娟嬛悁	於緣	仙
588	626	船	船	繩川	仙
589	627	鞭	鞭鯾編箯揙	卑連	仙
590	628	涎	涎	敘連	仙
591	629	詮	詮銓痊佺悛駩荃筌絟譔謜恮遵剶峑栓	此緣	仙
592	630	專	專甎顓篿鄟嫥	職緣	仙
593	631	遄	遄圌輲椯諯歂	市緣	仙
594	632	員	員圓湲	王權	仙
595	634	栓	栓𨏉	山員	仙
596	635	鐉	鐉剶	丑專	仙
597	636	乾	乾虔犍鰬𨜻騝	渠焉	仙
598	637	愆	愆褰騫䙭𧽐	去乾	仙
599	638	權	權拳觠狋顴婘䠰踡𤷄犈蠸齤𪈻蜷𥁠鬈䟒䑏孉	巨員	仙
600	639	椽	椽傳	直緣	仙
601	640	攣	攣𤼙䜌𧖘	呂緣	仙
602	641	弮	弮㒽捲𢑆鬈	去員	仙
603	642	焉	焉漹䗡	於乾	仙
604	644	嬽	嬽	於權	仙
605	633	跧	跧䀬	莊緣	仙
606	647	勬	勬	居員	仙
607	648	蕭	蕭簫彇蟰橚潚𩘹綃撨箾翛鮹	蘇彫	蕭
608	649	祧	祧佻挑朓恌聎趒蓧	吐彫	蕭
609	650	貂	貂䯾彫刀琱凋䂏鯛鵰蛁瞗苕弴𠚥㚋鳭𠚥袤	都聊	蕭
610	651	迢	迢條髫跳鋚𧌁蜩𢓝苕芀調嬥䯾𠧪樤䱔𣬸	徒聊	蕭
611	652	驍	驍䲷県澆憿邀釗蟂僥	古堯	蕭
612	653	聊	聊𦗖膋飉遼憀寥竂料㙩橑撩摷廖僚鐐豂嶚簝鷯𥲊璙嫽漻瞭𦿌𧂏癆𡽐蟧寮	落蕭	蕭
613	654	堯	堯嶢僥垚顤	五聊	蕭
614	655	膮	膮嘵䫞𦟞㚠䎄	許幺	蕭
615	656	幺	幺怮	於堯	蕭
616	657	鄡	鄡𨜑𢿣	苦聊	蕭
617	658	宵	宵消霄捎逍痟綃銷硝蛸揱踃莦䴛奞	相焦	宵
618	659	超	超怊𠰉	勅宵	宵
619	660	朝	朝	知遙	宵
620	661	晁	晁潮鼂朝	直遙	宵
621	662	囂	嚻枵歊毊獢𤣠虈䖺𩱴藃	許喬	宵
622	663	樵	𦿕劁僬䏆憔譙嶕𡻝䩌推菬	昨焦	宵
623	664	驕	驕嬌憍穚簥鷮蕎撟	舉喬	宵
624	665	焦	焦㲬蕉膲鷦椒噍鐎𪚰𦅃鳭䩌	即遙	宵
625	666	饒	饒襓撓犪蟯蕘	如招	宵
626	667	燒	燒𤫺	式招	宵
627	668	遙	遥媱傜颻𣣳窯䔄𦾺珧鰩銚姚揺瑶謡軺𢝾恌䠛𨙂蘨㫍𢑄嗂榣烑褕𤻂	余招	宵
628	669	韶	韶佋柖𠧙𢃳邵軺	市招	宵
629	670	昭	昭鵃鉊招盄弨釗	止遙	宵
630	671	飈	飈摽猋杓瘭幖熛髟標贆𣄠	甫遙	宵
631	672	鑣	鑣儦瀌穮	甫喬	宵
632	673	瓢	瓢飄䕯𣠔	符遙	宵
633	674	蜱	蜱䖢薸篻𪃦	無遙	宵
634	675	苗	苗貓	武儦	宵
635	676	腰	腰要葽喓𧍔䙅紗䳩蟯邀	於宵	宵
636	677	鴞	鴞𨚙	于驕	宵
637	678	喬	喬橋趫僑鐈嶠鷮㝯毊轎䀉	奇驕	宵
638	679	鍫	鍫幓𣟼篍	七遙	宵
639	680	妖	妖祅𣓎𡝩	於喬	宵
640	681	蹻	蹻繑䫞趬㚠趫	去遙	宵
641	682	怊	𢁾弨	尺招	宵
642	683	漂	漂杓𩙒嫖旚犥鏢僄翲飃瞟螵嘌慓𨄏𦠎票	撫遙	宵
643	684	翹	翹𦱒嘺䎗𤖻	渠遙	宵
644	685	燎	燎髎	力昭	宵
645	686	趫	趫橇𢄹	去遙	宵
646	687	肴	肴崤𦺔殽洨筊姣猇㮁爻倄㤊䋂𨠦淆	胡茅	肴
647	688	交	交蛟茭鵁鮫膠郊咬嘐詨筊轇𡥉𩎔	古肴	肴
648	689	巢	巢𨏋𠢶𡏮鄛窼	鋤肴	肴
649	690	鐃	鐃呶譊怓䴃𡽧㺜	女交	肴
650	691	梢	梢捎髾輎旓弰䈰筲鞘蛸鮹莦𥙬娋𡡏䈾	所交	肴
651	692	茅	茅蟊貓犛媌鶜	莫交	肴
652	693	虓	虓髇藃窙嗃䬘髐涍灱庨哮猇	許交	肴
653	694	包	包胞	布交	肴
654	695	胞	胞𨚔䍖脬拋泡𠐋𦫶	匹交	肴
655	696	敲	敲骹𥉾㤍磽頝墝	口交	肴
656	697	聱	聱謷摮磝𢿲	五交	肴
657	698	𦗔	𦗔罺抓	側交	肴
658	699	嘲	嘲䞴鳭	張交	肴
659	700	䜈	䜈抄𦾱訬䰫	楚交	肴
660	701	庖	庖咆匏炮瓟麃掊𠣺尥狍鉋嘐	薄交	肴
661	702	䫜	䫜㕭眑梎坳	於交	肴
662	706	豪	豪號毫噑濠崤𨚙敖𣘫䧫獔	胡刀	豪
663	707	高	高膏羔皐餻𡼗櫜咎鼛鷱槹篙倃𧢌忴䓘𦺆𨝲麔	古勞	豪
664	708	勞	勞澇牢簩䝁醪撈𤩂嫪𦗖哰簝䜮𣘪	盧刀	豪
665	709	蒿	蒿撓薧薅𧯌	呼高	豪
666	710	毛	毛髦芼𣹪旄氂堥㮘	莫袍	豪
667	711	饕	饕洮韜謟滔叨弢𩥓㹗𤘸槄慆絛𠌪𠬢詜夲𠚡䈱	吐高	豪
668	712	刀	刀魛忉裯舠	都勞	豪
669	713	騷	騷搔繰臊鱢慅溞艘	蘇刀	豪
670	714	袍	袍軳	薄褒	豪
671	715	襃	襃𨚔	博毛	豪
672	716	陶	陶䛬咷桃綯燾逃鼗掏濤檮騊裪蜪錭駣㹗翢萄	徒刀	豪
673	717	糟	糟遭㷮槽𣩒㯥䄚㡟	作曹	豪
674	718	敖	敖翶聱謷驁獒熬嶅滶鷔鼇螯蔜𩪋𩓁嚻𢧴䦋鰲嗷鏊	五勞	豪
675	720	爊	爊鑣	於刀	豪
676	719	曹	曹槽螬嘈鐰䄚艚䏆蓸褿𩫥	昨勞	豪
677	721	猱	猱㺜巎𤫕夒	奴刀	豪
678	722	尻	尻	苦勞	豪
679	723	操	操懆	七刀	豪
680	725	哥	哥柯㤎妿渮戕牂滒牁	古俄	歌
681	753	和	和𤖱禾龢	胡過	歌
682	739	過	過渦戈鍋𨍋𩾷𧒖	古和	歌
683	749	𩼊	𩼊樏騾螺𣜄𧄿𥢵𨰠覶腡𩰫𦿌鸁	落過	歌
684	742	莎	莎魦莏𢘿趖蘘梭唆	蘇禾	歌
685	746	痤	痤矬銼睉㭫	昨和	歌
686	747	訛	訛鈋囮卬蔿譌	五和	歌
687	754	科	科窠薖稞萪蝌㸰䈖㽿課簻	苦和	歌
688	755	倭	倭濄渦涹	烏和	歌
689	726	蹉	蹉瑳搓磋傞𪘓	七河	歌
690	727	多	多𦷛	得河	歌
691	743	婆	婆鄱𩕏𦃡	薄何	歌
692	745	摩	摩𡡉磨魔䯢髍𥂓	莫何	歌
693	729	駞	駝鼉袉沲鼧㼠䡐驒𡩆絁鮀陀䍫𧿶𩉺𧕛	徒何	歌
694	730	醝	醝㽨瘥䣜𣩈鹺嵯蒫䴾酇虘𪘓躦	昨何	歌
695	731	莪	莪哦峨鵞蛾俄𩒰誐涐娥	五歌	歌
696	732	他	他扡痑它	託何	歌
697	733	羅	羅蘿籮儸欏	盧何	歌
698	734	那	那㔮𤘟挪𡖝臡𠹈	諾何	歌
699	735	何	何河荷苛魺蚵	韓柯	歌
700	736	訶	訶𩑸妸抲	虎何	歌
701	751	波	波皤紴嶓	博何	歌
702	752	頗	頗坡	滂何	歌
703	737	珂	珂軻	苦何	歌
704	738	阿	阿娿痾鈳䋪	烏何	歌
705	748	𧦭	𧦭涶䛢䜏	吐和	歌
706	750	挼	挼	奴和	歌
707	744	牠	牠碢	徒和	歌
708	756	鞾	鞾𢪎	火戈	歌
709	741	𨹃	𨹄	丁戈	歌
710	760	呿	呿㰦	墟迦	歌
711	761	迦	迦	居呿	歌
712	759	伽	伽	求迦	歌
714	753	㗻	㗻	于戈	歌
715	762	脞	脞㛗	倉和	歌
716	763	侳	侳挫	子過	歌
717	766	麻	麻犘蟇𥂓	莫霞	麻
718	767	車	車硨	昌遮	麻
719	768	奢	奢賖畬	式車	麻
720	769	耶	耶斜釾椰𥯘擨䓉𦭿䔑	以遮	麻
721	770	遮	遮㸙𠌮	止奢	麻
722	771	嗟	嗟𦊕㜘袓𣩈謯	子邪	麻
723	772	蛇	蛇	食遮	麻
724	773	華	華驊鷨𧑍鋘鏵釫	戶花	麻
725	774	瓜	瓜騧緺蝸婐㧓	古華	麻
726	775	花	花譁	呼瓜	麻
727	776	誇	誇䠸姱䯞	苦瓜	麻
728	777	拏	拏詉挐笯𦬻𧘽	女加	麻
729	778	嘉	嘉家加葭笳麚豭痂鴐枷袈𧉪茄迦珈𨔣犌𤠙瘕	古牙	麻
730	779	遐	遐蝦鍜霞瑕騢鰕䠍䫗碬𩋥	胡加	麻
731	780	葩	葩蚆	普巴	麻
732	781	鵶	鵶錏㝞𠜲	烏加	麻
733	782	巴	巴鈀笆豝蚆芭	伯加	麻
734	783	叉	叉釵靫䐤𠞊㼮	初牙	麻
735	784	砂	沙鯊裟桬紗䩖	所加	麻
736	785	牙	牙衙芽齖	五加	麻
737	786	樝	樝𦳏㪥皻䶥柤摣浾	側加	麻
738	787	𡨀	𡨀䠧荼䣝𣘻塗𨼑梌秅	宅加	麻
739	788	衺	衺䔑	似嗟	麻
740	789	闍	闍	視奢	麻
741	790	窊	窊洼	烏瓜	麻
742	791	髽	髽	莊花	麻
743	792	撾	撾䒳	陟瓜	麻
744	793	爬	爬杷琶	蒲巴	麻
745	794	楂	楂䶥㢒䣜	鋤加	麻
746	795	侘	侘㗬	勅加	麻
747	796	奓	奓𧬅觰䅊譇䐒𪗭	陟加	麻
748	797	煆	煆呀颬	許加	麻
749	798	䶗	䶗	客加	麻
750	800	婼	婼	而遮	麻
751	799	㚗	㚗	才耶	麻
752	1072	覃	覃𨝸潭曇藫橝蟫譚𧽼燂壜鐔㽑㽎	徒南	覃
753	1073	參	參驂傪䟃	倉含	覃
754	1074	南	南男柟弇聃抩𪚮	那含	覃
755	1075	諳	諳䳺馣媕庵腤喑韽盦	烏含	覃
756	1076	含	含涵㮀𦛜䤴顄𣹢𩄙鋡𤭙𠤿䶃筨圅	胡南	覃
757	1077	婪	婪燷葻嵐	盧含	覃
758	1080	貪	貪探	他含	覃
759	1079	簮	簪篸䐶𥸢鐕	作含	覃
760	1078	蠶	蠶撏𨅔	昨含	覃
761	1081	躭	躭眈妉酖媅𧡪𡖓	丁含	覃
762	1082	龕	龕𢦟頷堪𤯎嵁戡	口含	覃
763	1083	㟏	㟏𩈣馠𡬖欦	火含	覃
764	1084	毿	毿蔘	蘇含	覃
765	1085	弇	弇䶃淦𣤭蜬	古南	覃
766	1086	儑	儑𡪁嵁	五含	覃
767	1087	談	談郯惔錟淡痰𥰨㶣	徒甘	談
768	1088	甘	甘䇞柑苷泔𡜉	古三	談
769	1089	擔	擔儋聸頕甔	都甘	談
770	1090	三	三𢁘	蘇甘	談
771	1091	藍	藍襤䰐㩜籃婪灆䆾	盧甘	談
772	1092	坩	坩	苦甘	談
773	1093	䑙	䑙耼𡉱𦶈䆱緂	他酣	談
774	1094	慙	慙鏨䳻	昨甘	談
775	1095	酣	酣甝䗣𤯎邯炶魽	胡甘	談
776	1096	姏	姏	武酣	談
777	1097	𩈻	𩈻	作三	談
778	1098	蚶	蚶憨嬜歛	火談	談
780	805	陽	陽暘煬鍚揚禓昜羊瘍蛘徉𩋬鰑样𦍹鸉詳眻𥂸痒𦭵輰敭楊	与章	陽
781	806	詳	詳翔洋祥庠痒𦍙	似羊	陽
782	807	良	良梁涼𥞹蜋𩗬量粮踉輬𣄴綡䣼㹁椋䝶	呂張	陽
783	808	𥞌	香薌郷膷皀	許良	陽
784	809	商	商𧶜傷蔏殤觴𥛙𪄲塲幛饟䵼㲽𥏫𤵼	書羊	陽
785	810	房	房防魴鴋	符方	陽
786	811	章	章漳樟慞彰墇麞鄣蔁暲璋	諸良	陽
787	812	昌	昌裮倡猖閶鯧	處良	陽
788	813	羌	羌蜣猐	去良	陽
789	814	薑	薑㹔韁殭礓壃橿姜䗵僵	居良	陽
790	815	長	長萇䠆膓場㙊瓺䗅	直良	陽
791	816	張	張餦粻	陟良	陽
792	817	穰	穰攘𨟚躟蘘瀼獽禳勷鬤瓤孃䉴	汝陽	陽
793	818	方	方坊肪蚄邡鴋枋鈁牥匚	府長	陽
794	819	襄	襄廂湘箱緗相儴纕驤𣀮	息良	陽
795	820	將	將漿鱂蔣螿𢪇	即良	陽
796	821	瘡	瘡𠛂	楚良	陽
797	822	亡	亡望朢莣芒鋩硭杗邙忘朚	武方	陽
798	823	孃	孃瓤娘鑲	女良	陽
799	824	牀	牀疒	士莊	陽
800	825	莊	莊裝妝䊋	側羊	陽
801	826	常	常裳甞鋿𩼝𪄹	時羊	陽
802	827	霜	霜孀騻鸘	所良	陽
803	828	牆	牆檣薔嬙戕奘佯	疾良	陽
804	829	鏘	鏘瑲蹌蹡斨搶𨄚𨶆𥏫牄	七將	陽
805	830	匡	匡筐䖱邼框恇劻洭軭	去王	陽
806	831	王	王蚟	雨方	陽
807	832	央	央鴦殃鉠秧泱映	於良	陽
808	833	強	強僵彊䲔	巨良	陽
809	834	𦳝	𦳝倀鼚	褚良	陽
810	835	芳	芳妨淓	敷方	陽
811	836	狂	狂軖鵟	渠王	陽
812	837	唐	唐煻糖堂𪕹搪棠蓎瑭餹篖螳𤚫螗㲥踼闛閬榶橖隚䧜䣘㼺鎕䉎𨎋塘	徒郎	唐
813	838	郎	郎稂桹廊榔鋃硠𪁜浪䯖蜋狼𩷕琅㝗𦵧欴踉莨㟍𥍫艆駺筤	魯當	唐
814	839	當	當鐺簹襠璫檔㼕蟷	都郎	唐
815	840	倉	倉蒼鶬滄𩀞	七崗	唐
816	841	剛	剛崗掆笐鋼綱亢犅堈魧㼚	古郎	唐
817	842	桑	桑喪𩦌𦅇	息郎	唐
818	843	康	康穅㱂㝩躴㼹漮䗧	苦岡	唐
819	844	荒	荒𥡃肓𥁃𣺬慌㠵𥿼𧧢𩣐	呼光	唐
820	845	黃	黄皇璜遑惶潢堭煌餭騜艎簧隍癀𨝴湟徨鱑篁葟𨜔堭媓𤯷䍿䅣蟥蝗	胡光	唐
821	846	光	光洸垙桄𨎩胱横茪僙	古皇	唐
822	847	湯	湯鏜簜蝪𦳝	吐郎	唐
823	848	滂	滂鎊霶𣂆雱	普郎	唐
824	849	汪	汪𪁘尪洸尢	烏光	唐
825	850	鴦	鴦佒咉姎	烏郎	唐
826	851	炕	炕㰠	呼郎	唐
827	852	航	航筕桁行迒頏魧胻邟苀蚢抗	胡郎	唐
828	853	茫	茫吂䀮汒恾朚蘉㡆𡩩杗𨛌	莫郎	唐
829	854	臧	臧牂样𧷢	則郎	唐
830	855	囊	囊蠰	奴當	唐
831	856	傍	傍彷膀䠙趽旁䅭騯	步光	唐
832	857	卬	卬䭹枊昂䒢䩕	五崗	唐
833	858	藏	藏	昨郎	唐
834	859	䯑	䯑	苦光	唐
835	861	庚	庚鶊更秔䢚羹	古行	庚
836	862	坑	坑劥砊阬	客庚	庚
837	863	盲	盲蝱鄳𥋝莔𨞚	武庚	庚
838	864	橫	横黌蝗鐄瑝喤鍠䬝㶇䄓𪏓𢘌韹彋	胡盲	庚
839	865	閍	閍祊嗙㔙	甫盲	庚
840	866	諻	諻喤嚝	虎橫	庚
841	867	觥	𧣶侊䍔	古橫	庚
842	868	彭	彭澎膨蟛䰃棚榜䄘搒憉𣂆篣蒡𨍩騯	薄庚	庚
843	869	朜	朜享惇湞	許庚	庚
844	870	瞠	瞠𢴤竀	丑庚	庚
845	871	鎗	鎗槍	楚庚	庚
846	872	傖	傖䚘鬇	助庚	庚
847	873	霙	霙鉠韺渶英瑛楧鶧	於京	庚
848	874	磅	磅恲享椁澎	撫庚	庚
849	875	平	平評苹胓泙蚲	蒲兵	庚
850	876	驚	驚京荆麖	舉卿	庚
851	877	明	明盟䳟鳴	武兵	庚
852	878	棖	棖盯澄掁瞪挰憕	直庚	庚
853	879	趟	趟𩘽	竹盲	庚
854	880	榮	榮蠑瑩揘嶸禜	永兵	庚
855	881	兵	兵	補榮	庚
856	882	兄	兄	許榮	庚
857	883	卿	卿	去京	庚
858	884	生	生笙牲猩鉎甥䴤	所京	庚
859	885	擎	擎勍鯨黥檠樈葝䫆	渠京	庚
860	886	迎	迎	語京	庚
861	887	行	行衡筕珩蘅𦣍洐桁鶊	戶庚	庚
862	888	鬤	鬤㲰𧂘	乃庚	庚
863	861	賡	賡	古行	庚
864	889	耕	耕	古莖	耕
865	890	鏗	鏗䡰鳽誙牼摼㧶𨌳𡷨硻臤硜	口莖	耕
866	891	甍	甍䉚萌氓嫇夢蕄	莫耕	耕
867	893	宏	宏紘紭閎嶸𧮯耾翃宖竑𥥈𦐌	戶萌	耕
868	894	莖	莖䪫牼	戶耕	耕
869	895	朾	朾玎䆸	中莖	耕
870	896	甖	甖嚶鶯櫻嫈鸚譻鸎	烏莖	耕
871	897	崢	崢𦱊鬇	仕耕	耕
872	898	琤	琤錚棦	楚莖	耕
873	899	儜	儜薴𧭈鬡𧞻䭢	女耕	耕
874	900	怦	怦姘閛𤘾抨砰㛁䍬	普耕	耕
875	901	轟	轟䎕揈訇㧦	呼宏	耕
876	902	繃	繃絣	甫萌	耕
877	903	橙	橙㨃湞䁎㲂䆑䆵	直耕	耕
878	904	泓	泓謍宖	烏宏	耕
879	905	輣	輣棚庄	扶萌	耕
880	906	娙	娙俓	五莖	耕
881	907	爭	爭箏䋫猙埩䱢	側莖	耕
882	908	清	清圊	七精	清
883	909	情	情晴請夝	疾盈	清
884	910	精	精氏菁旍鶄蜻晶鼱婧聙𣻓	子清	清
885	911	盈	盈㜲瀛籯嬴楹贏𤟣攍㵬	以成	清
886	912	營	營塋䁝	余傾	清
887	913	嬰	嬰瓔纓攖𨟙賏	於盈	清
888	914	貞	貞楨禎𨜓𨺟	陟盈	清
889	915	檉	檉偵赬酲䟓虰	勅貞	清
890	916	成	成城誠宬郕筬䫆盛晟	市征	清
891	917	呈	呈程酲珵䇸裎	直貞	清
892	918	聲	聲𦕌	書盈	清
893	919	征	佂鉦征鯖正怔	諸盈	清
894	920	輕	輕鑋𨆪	去盈	清
895	921	名	名洺	武并	清
896	922	跉	跉令	呂貞	清
897	923	并	并栟箳	補盈	清
898	924	傾	傾	去營	清
899	925	𩛿	𩛿	徐盈	清
900	926	縈	縈嫈䪯𢄋褮	於營	清
901	927	瓊	瓊煢睘惸𢶇藑儝赹𦾵𨍶嬛	渠營	清
902	928	騂	騂垶觪𤙡	息營	清
903	929	頸	頸𩷏葝	巨成	清
904	931	青	青	倉經	青
905	932	經	經涇鵛	古靈	青
906	933	形	形刑邢桯䤯型陘侀㼛𤬐鄄	戶經	青
907	934	庭	庭停鼮𠅘莛葶筳聤霆挺楟𧓴娗㼗打𩹇綎㹶𧖨	特丁	青
908	935	丁	丁釘䦺	當經	青
909	936	馨	馨𠷓蛵	呼形	青
910	937	星	星腥胜鯹𥠀醒鉎篂猩	桑經	青
911	938	竮	竮甹頩姘𢖊	普丁	青
912	939	靈	靈柃舲齡囹麢鴒䉁蛉鈴零櫺伶泠瓴玲酃𦉢𩖊聆竛𪕌蘦笭軨靇龗岭魿醽苓𣬹翎霝孁𩚹紷𩆚	郎丁	青
913	940	寧	寧𣍆寍鸋𧕝	奴丁	青
914	941	汀	汀訂桯綎聽廳町𦀚頲艼	他丁	青
916	942	冥	冥榠銘鄍溟䫤螟𧱴蓂嫇覭𥹆	莫經	青
917	943	瓶	瓶蛢䶄屏荓䈂軿蓱竮䓑郱𤳊𤭔	薄經	青
918	944	熒	熒褮螢滎䁝𧵣	胡丁	青
919	945	扃	扃䮐駫坰熲𪕍絅冋	古螢	青
920	986	尤	尤𣏞睡疣沋訧郵	羽求	尤
921	987	憂	憂優瀀麀𢖒擾鄾𢆶怮嚘𥣯妋纋𧀥㱊	於求	尤
922	988	劉	劉留蒥勠摎𪅳駵騮疁𥹷流旒飂瘤榴瑬瑠𪕚憀䖻蟉裗懰䝀䉧硫𪆱	力求	尤
923	989	秋	秋鞧鶖鰍楸萩篍䨂鰌𪓰	七遊	尤
924	990	猷	猷悠油由猶攸蕕浟遊逌𢋅冘𨙂輶蘨秞蚰蝣櫾庮𩿬囮舀㕀𣔴䖻禉𨗰邮𧡹䍃斿㾞𦷿𦽈	以周	尤
925	991	牛	牛	語求	尤
926	992	遒	遒鮂䎿蝤啾湫𣟼噍𩮈揫	即由	尤
927	993	酋	酋㥢䎿逎𣟼𦵩𣩒煪𧤕緧蝤	字秋	尤
928	994	脩	脩羞修𩛢鏅䡭樇	息流	尤
929	995	抽	抽惆瘳婤𥉈	勅鳩	尤
930	997	犨	犨	赤周	尤
931	998	周	周州洲賙喌舟婤脽輖	職鳩	尤
932	999	讎	讎酬詶雔魗鮋	市流	尤
